benchmark,run,result
quadratic,baseline,785
quadratic,myopt,783
primes-between,baseline,574100
primes-between,myopt,incorrect
birthday,baseline,484
birthday,myopt,483
orders,baseline,5352
orders,myopt,5352
sum-check,baseline,5018
sum-check,myopt,5018
palindrome,baseline,298
palindrome,myopt,incorrect
totient,baseline,253
totient,myopt,253
relative-primes,baseline,1923
relative-primes,myopt,1914
hanoi,baseline,99
hanoi,myopt,99
is-decreasing,baseline,127
is-decreasing,myopt,127
check-primes,baseline,8468
check-primes,myopt,8419
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,3036
fitsinside,baseline,10
fitsinside,myopt,10
fact,baseline,229
fact,myopt,228
loopfact,baseline,116
loopfact,myopt,115
recfact,baseline,104
recfact,myopt,103
factors,baseline,72
factors,myopt,72
perfect,baseline,232
perfect,myopt,231
bitshift,baseline,167
bitshift,myopt,incorrect
digital-root,baseline,247
digital-root,myopt,247
up-arrow,baseline,252
up-arrow,myopt,252
sum-divisors,baseline,159
sum-divisors,myopt,159
ackermann,baseline,1464231
ackermann,myopt,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
euclid,baseline,563
euclid,myopt,562
binary-fmt,baseline,100
binary-fmt,myopt,100
lcm,baseline,2326
lcm,myopt,2325
gcd,baseline,46
gcd,myopt,incorrect
catalan,baseline,659378
catalan,myopt,659378
armstrong,baseline,133
armstrong,myopt,130
pascals-row,baseline,146
pascals-row,myopt,139
collatz,baseline,169
collatz,myopt,169
sum-bits,baseline,73
sum-bits,myopt,73
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
mod_inv,baseline,558
mod_inv,myopt,555
reverse,baseline,46
reverse,myopt,46
fizz-buzz,baseline,3652
fizz-buzz,myopt,3552
bitwise-ops,baseline,1690
bitwise-ops,myopt,incorrect
